channelId,title,channelTitle,publishedAt
"UC7-sh4gtS5oJkwqOyt8s3CQ","GRANDONG LEBIH BESAR DARI YANG DIBAYANGKAN!! KOK JADI MIRIP GAJAH YA??","deHakims","2021-07-16T08:00:17Z"
"UC3IZKseVpdzPSBaWxBxundA","BTS (방탄소년단) 'Permission to Dance' Official MV","HYBE LABELS","2021-07-09T03:59:12Z"
"UCo8h2TY_uBkAVUIc14m_KCA","Curhat Emak-Emak Cari Nafkah, Dilema Aparat di Lapangan - Dilema Negeri +62 (Part 2) | Mata Najwa","Najwa Shihab","2021-07-14T23:01:01Z"
"UCKII0Ml9S5wneKbHswmUrIQ","Tolak Bayar Denda, Pelanggar PPKM Pilih Dipenjara","CNN Indonesia","2021-07-14T02:00:15Z"
"UC8-Th83bH_thdKZDJCrn88g","BTS: Permission to Dance (TV Debut) | The Tonight Show Starring Jimmy Fallon","The Tonight Show Starring Jimmy Fallon","2021-07-14T04:30:11Z"
"UC43nz9qnZ7AIrbOlfxejTig","KIAT OUTDOOR KEREN DAN TIPS DIY TAMASYA || Kiat Pantai Terkeren Supaya Tamasyamu Seru oleh 123 GO!","123 GO! Indonesian","2021-07-12T15:00:11Z"
"UC0k3T5AJYvKnuc52bB7rJTA","DENNY CAKNAN feat. GUYON WATON - WIDODARI (Official Music Video)","DENNY CAKNAN","2021-07-10T12:30:14Z"
"UCQA6NejSxQguRkD3L8eXHzA","Berhasil Rebut Simpati Masyarakat, Ini Sosok Paspampres Praka Izroi Gajah","iNews id","2021-07-10T10:19:49Z"
"UC5BMIWZe9isJXLZZWPWvBlg","Buntut Cekcok Paspampres Saat Penyekatan, Propam Polda Metro Jaya Periksa Anggotanya","KOMPASTV","2021-07-08T07:56:50Z"
"UC8-Th83bH_thdKZDJCrn88g","BTS: Butter | The Tonight Show Starring Jimmy Fallon","The Tonight Show Starring Jimmy Fallon","2021-07-15T04:30:09Z"
"UC9OUldB9j6PS5_WP77Lz0Uw","LESTI SEDIH, PULANG KAMPUNG MINTA RESTU KELUARGA BESAR","LESTI CHANNEL","2021-07-15T09:00:11Z"
"UCJpdpj9hNhaYBRGusGv7CjQ","Puluhan Paspampres Geruduk Polres Jakbar Seusai Oknum Polisi Cekcok dengan Praka Izroi","Tribun Jateng","2021-07-09T04:26:17Z"
"UCaAE5pyrskvGdHmypXxqncA","Lyodra - Kalau Bosan (Official Music Video)","LyodraVEVO","2021-07-15T17:00:13Z"
"UCLkAepWjdylmXSltofFvsYQ","[CHOREOGRAPHY] BTS (방탄소년단) 'Permission to Dance' Dance Practice","BANGTANTV","2021-07-13T12:00:05Z"
"UC43nz9qnZ7AIrbOlfxejTig","MURID KAYA VS MURID BOKEK || Situasi Lucu dalam Kehidupan Nyata oleh 123 GO!","123 GO! Indonesian","2021-07-15T14:00:17Z"
"UCER4rvDnRBPr_ncYW4UCZjg","Terkait Kontroversi dr. Lois, Babeh Aldo: dr. Lois Adalah Dokter Pertama yang Berani Bersuara | AKIM","tvOneNews","2021-07-13T13:57:43Z"
"UCJpdpj9hNhaYBRGusGv7CjQ","Tangis Polisi Pecah Dekap Bocah Yatim Piatu yang Ceritakan Unek-unek Hidupnya","Tribun Jateng","2021-07-13T17:00:57Z"
"UC43nz9qnZ7AIrbOlfxejTig","MASA KEHAMILAN LANCAR VS MASA KEHAMILAN RIBET || Momen Kehamilan Lucu oleh 123 GO!","123 GO! Indonesian","2021-07-14T13:15:01Z"
"UCmB1_agPlXbbwTCPKEuwEKA","Tasya Rosmala ft. New Pallapa - Haruskah Aku Mati (Official Music Video ANEKA SAFARI)","Aneka Safari Records","2021-07-12T06:00:14Z"
"UCbJWkrWIB4W-oR-cOASEBsQ","Boruto Episode 207 Sub Indo Terbaru PENUH FULL HD | Boruto Episode 207 Subtitle Indonesia HD","V Movies","2021-07-11T11:26:56Z"
"UC1COz5-ymC7FALbIPii5dwQ","Pesan Terakhir","Lyodra - Topic","2021-07-15T10:06:00Z"
"UCdOovgmIPfj9a-o3VP5i2_g","Komandan Paspampres Ungkap Ada Perkataan Polisi Singgung Institusi Negara","MerdekaDotCom","2021-07-09T10:59:51Z"
"UCcDhPsZnQKMn_4DfDBuYg1Q","HIGHLIGHTS ARGENTINA 1 - 0 BRASIL | COPA AMÉRICA 2021 | 10-07-21","Copa América","2021-07-11T03:10:03Z"
"UCe8yjo839EIfDdj8LgBb1ZA","(COVER INDIA) Selfi YammaFeat Fildan - Mile Ho Tum Humko Neha Kakkar","Selfi Yamma LIDA","2021-07-11T17:00:10Z"
"UCXxHcPruufr4DrgFqLNnGOQ","Detik Detik Kronologi Penangkapan Nia Ramadhani & Ardi Bakrie | Intens Investigasi","Intens Investigasi","2021-07-08T11:15:05Z"
"UCoC47do520os_4DBMEFGg4A","我们中国人的开门七件事，柴米油盐酱醋茶 Firewood, rice, oil, salt, soy sauce, vinegar, and tea丨Liziqi Channel","李子柒 Liziqi","2021-07-14T12:12:22Z"
"UCt9a_qP9CqHCNwilf-iULag","Sergio Ramos : Première journée d'entraînement","PSG - Paris Saint-Germain","2021-07-12T18:40:39Z"
"UCbygpKn8gqj1LMTMyROF9fg","Rizky Febian & Ziva Magnolya - Terlukis Indah (Official Music Video)","Rizky Febian","2021-07-14T07:00:10Z"
"UCWhiN5fWklGLtLZTJEAZ-vw","JIKA AKU MENIKAH TAHUN INI..  #OSHICIS 🔥‼️","Dokter Shindy","2021-07-14T03:22:29Z"
"UCCaZhsZjcmWZpOJNaLyM-kA","【SORA AOI】Wawancara dengan SOLA AOI !! 　*Nama Aslinya SOLA 🙏","DAISUKE BOTAK","2021-07-14T12:00:30Z"
"UChCovZlgNh2x6Z57MJ5fhFw","Italia 1 - 1 Inglaterra [3-2] | EUROCOPA 2020 - FINAL 🏆","TNT Sports Chile","2021-07-12T04:31:04Z"
"UCEIi7zFR_wE23jFncVtd6-A","[Artist Of The Month] 'Watermelon Sugar' X 'BLOW' covered by TXT YEONJUN(연준) | July 2021 (4K)","STUDIO CHOOM [스튜디오 춤]","2021-07-16T14:00:02Z"
"UC7-sh4gtS5oJkwqOyt8s3CQ","IZIN SELURUH KELUARGA UNTUK QURBAN SAPI, GRANDONG DARI SETIA FARM..","deHakims","2021-07-08T14:00:14Z"
"UCcSVA15A6UNouOvHsixy1ng","Haruskah Aku Mati - Woro Widowati - New Pallapa ( Official Music Video )","PERDANA RECORD","2021-07-06T12:00:15Z"
"UCLiy-C7YdWBxg8D9XWxWq1w","DIKASIH KEJUTAN ULTAH, AYU TING TING MINTA DINIKAHIN! HARUS DISUKAI BILQIS? - DITANYA ROBBY","Robby Purba","2021-07-10T11:00:14Z"
"UCO8nJdYIZO2TD8j3JN_xDFw","DRAMA! BACAIN MASALAH ART PARA NETIJEN! #CuTime","rachel goddard","2021-07-15T12:00:10Z"
"UCmxAIW7RDDC88EPk4ry16Kg","Viral Puluhan Paspampres Geruduk Polres Jakbar, Kapolres: Ada Kesalahpahaman, Tapi Sudah Selesai","Tribunnews.com","2021-07-08T09:33:08Z"
"UC994bmxwjaWuf6ggRBz0f3g","HARUSKAH AKU MATI Duet Terbarunya GERY MAHESA LALA WIDI","MP Production","2021-07-14T07:00:13Z"
"UCmlgRPrwvyHaS1jYXJifNqg","dia yang bikin video, gue yang malu.","Picky Picks","2021-07-16T12:33:36Z"
"UC1COz5-ymC7FALbIPii5dwQ","Dibanding Dia","Lyodra - Topic","2021-07-15T10:02:28Z"
"UCamwEBao0i0J1_Nqf3beqgA","#suaratirta : BERITA HOAX COVID HARI INI","Tirta PengPengPeng","2021-07-07T11:37:03Z"
"UCTaLuDatJ-2Y-YnXWA7UKzQ","NGASIH UANG 14 JUTA CASH + UANG DARI JUAL MOTOR GW, KE MBA ASMARA | Bro Omen","Bro Omen","2021-07-15T23:52:03Z"
"UCpiCK8c6PBktcxq7Az_t4RQ","Song Kang gives Han So-hee birthday kisses on the kitchen countertop | Nevertheless, Ep 4 [ENG SUB]","The Swoon","2021-07-12T01:00:05Z"
"UCzCedBCSSltI1TFd3bKyN6g","D.O. 디오 '공감' Mood Sampler Ver.1","EXO","2021-07-14T15:00:33Z"
"UCzTsWuCdVP_vehWyGwPcS3Q","IKATAN CINTA - Cemburu Bingitzz!! Disangka Ikutin Cewek Cantik, Mas AL Dijewer Sama Andin","RCTI - LAYAR DRAMA INDONESIA","2021-07-15T17:29:10Z"
"UCOmHUn--16B90oW2L6FRR3A","BLACKPINK - 「Lovesick Girls - JP Ver.-」 MV","BLACKPINK","2021-07-12T23:00:18Z"
"UCKECwHOIAZkpv7c1hqg1mWw","Lakukan Ini jika Anggota Keluarga Alami Sesak Napas | lifestyleOne","lifestyleOne","2021-07-11T05:00:06Z"
"UCM6UGAIyUR3E1-m419VZmXw","RITUAL USIR PAGEBLUK LAMPOR KERANDA TERBANG - MBAH MIJAN","Mbah Mijan","2021-07-14T15:13:17Z"
"UCLiy-C7YdWBxg8D9XWxWq1w","PESAN AYU TING TING UNTUK ORANG YANG MENJATUHKANNYA! - DITANYA ROBBY","Robby Purba","2021-07-13T11:00:13Z"
"UCaQmWyRdzrgqdlAqtQO22ZQ","ALASAN JUJUR BILLY SYAHPUTRA PUTUS DENGAN AMANDA MANOPO | PART II","DENNY CAGUR TV","2021-07-11T05:54:05Z"
"UCYk4LJI0Pr6RBDWowMm-KUw","MERINDING GUE DENGER INI, GOKIL‼️ SEREM ABIS‼️ - Mongol - Deddy Corbuzier Podcast","Deddy Corbuzier","2021-07-01T04:20:38Z"
"UCMnHHuh31bFJ608NQZXrGtw","SHOLAWAT PENYEJUK HATI PENENANG PIKIRAN || ​KUMPULAN SHOLAWAT NABI MERDU TERBARU 2021","Lagu Sholawat Nabi","2021-07-12T23:15:03Z"
"UC5BMIWZe9isJXLZZWPWvBlg","Komandan Paspampres Angkat Bicara Terkait Keributan Anggotanya dengan Polisi di Pos Penyekatan","KOMPASTV","2021-07-09T07:21:12Z"
"UCLkAepWjdylmXSltofFvsYQ","#BTS #PermissiontoDance ✌✌ challenge only on @YouTube #Shorts starting Jul 23rd. Get ready to 🕺💃","BANGTANTV","2021-07-09T13:30:02Z"
"UCzl0OrB3-ehunyotIQvK77A","Kronologi Penangkapan Nia Ramadhani dan Ardi Bakrie","metrotvnews","2021-07-08T07:29:32Z"
